address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x8fa13a1acaec0fe92623866ad2c38d66b9b3f18d,10,0,0,10,0
0x000000000000000000000000000000000004fcaa,39.62774269,0,0,10,29.62774269
0x00000000000000000000000000000000004a5226,2810,1,1.00000002,0,2810.00000002
0x00000000000000000000000000000000007c867c,10,1,0,0,9
0x00000000000000000000000000000000000cb2be,8000,0,0,8000.15228957,-0.15228957
0xd12149b79f4320e1df0355786af32bcea77d4476,570,240,240.00612793,570.00162627,0.00450166
0x000000000000000000000000000000000075babc,34.4093523,25.67797918,0,0,8.73137312
0x00000000000000000000000000000000003bec55,0,3500,0,0,-3500
0x000000000000000000000000000000000006fd4b,452000,330000,32,0,122032
0x0000000000000000000000000000000000799b29,100.08153437,0,0,0,100.08153437
0x0000000000000000000000000000000000009d18,270,0,0,0,270
0x00000000000000000000000000000000001d2a07,3416.02257080,2549.20749620,2549.24905850,3416.02735232,0.03678078
0x0000000000000000000000000000000000326a45,323,0,0,0,323
0x000000000000000000000000000000000009d345,5000,0,0,0,5000
0x00000000000000000000000000000000007a47ca,2770,0,0,599.99999998,2170.00000002
0x0000000000000000000000000000000000798850,500,0,0,500.00006639,-0.00006639
0x0000000000000000000000000000000000792693,48.07072407,21.17050835,21.17235530,48.07125502,0.00131600
0x00000000000000000000000000000000004b1ec8,0.38813223,0,0,0,0.38813223
0x0000000000000000000000000000000000139d09,1600,0,0,0,1600
0x8c788e5907489a0110bf6eb8a6931f1eae048a6c,50000,0,0,0,50000
0x00000000000000000000000000000000004af644,10000,0,0,0,10000
0x0000000000000000000000000000000000305c4f,6113.39247924,3508.80345615,0,0,2604.58902309
0x0000000000000000000000000000000000723228,65,0,0,0,65
0xda9b073dfd6b115efe1cac0c58c8a1a62f75ad76,12500,0,0,0,12500
0x0000000000000000000000000000000000305a73,1100100.18440579,0,0,57582.81463744,1042517.36976835
0x00000000000000000000000000000000000ebad2,172.84809598,0,0,0,172.84809598
0x0000000000000000000000000000000000462101,6800,0,0,3999.99999999,2800.00000001
0x00000000000000000000000000000000001682be,520.69181012,2001,2001.00415951,0,520.69596963
0x0000000000000000000000000000000000769086,51200.73817137,14225.07664933,14225.28303379,7850.49322475,43350.45133108
0x00000000000000000000000000000000003c8075,46000,0,0,0,46000
0x0000000000000000000000000000000000426143,47799.83400034,7890.72995998,0,0,39909.10404036
0x0000000000000000000000000000000000108ef6,0,3975.6950076,0,0,-3975.6950076
0x00000000000000000000000000000000007afc26,1524.41175749,0,0,1524.41180626,-0.00004877
0xc845be4bc13e0efe275b4a344cf03561a9a80b5e,46,0,0,0,46
0x000000000000000000000000000000000078e975,120,3.73125,3.73191143,120.00554523,-0.00488380
0x00000000000000000000000000000000000efe11,400,0,0,0,400
0x00000000000000000000000000000000007461bd,110.22152939,0,0,0,110.22152939
0x000000000000000000000000000000000077c0e1,1400,0,0,1400.00768513,-0.00768513
0x000000000000000000000000000000000014b576,100003.68891372,0,0,0,100003.68891372
0x00000000000000000000000000000000005bf646,218365,0,0,0,218365
0x00000000000000000000000000000000000b11cf,644000,0,0,0,644000
0x00000000000000000000000000000000006e3566,650,485000,485103.01239032,650.0203879,102.99200242
0x000000000000000000000000000000000015b293,3222,0,0,0,3222
0x000000000000000000000000000000000067b41b,100500,0,0,100501.27322733,-1.27322733
0x00000000000000000000000000000000000edaf7,0,200000,0,0,-200000
0x00000000000000000000000000000000007c09a3,264,0,0,0,264
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,9507.87364839,0,0,24.99999999,9482.87364840
0x00000000000000000000000000000000000c12cd,47530.92701833,0,0,47531.02379344,-0.09677511
0x00000000000000000000000000000000006cd120,30,0,0,0,30
0x000000000000000000000000000000000073fd3e,1300,0,0,0,1300
0x00000000000000000000000000000000000c17d4,200000,0,0,0,200000
0x0000000000000000000000000000000000001eec,100000,0,0,100005.13996433,-5.13996433
0x00000000000000000000000000000000002e8596,51919.7604706,0,0,0,51919.7604706
0x00000000000000000000000000000000004ee88c,4425,0,0,0,4425
0x00000000000000000000000000000000002e6741,0,16385.60482870,0,0,-16385.60482870
0x000000000000000000000000000000000038461f,18418,0,0,0,18418
0x00000000000000000000000000000000005b987d,1355.83578589,0,0,0,1355.83578589
0x000000000000000000000000000000000014c122,10,0,0,0,10
0x00000000000000000000000000000000002167e9,41.83856046,0,0,0,41.83856046
0x00000000000000000000000000000000000d2fd8,8134.40700349,0,0,0,8134.40700349
0x000000000000000000000000000000000007c64e,500.02499295,0,0,0,500.02499295
0x00000000000000000000000000000000003c8371,9950,0,0,0,9950
0x00000000000000000000000000000000007c7d93,480,0,0,0,480
0x0000000000000000000000000000000000459183,1000,0,0,0,1000
0x0000000000000000000000000000000000466d6b,2000,0,0,0,2000
0x00000000000000000000000000000000004a2104,160,0,0,0,160
0x0000000000000000000000000000000000728274,675,0,0,0,675
0x00000000000000000000000000000000004e469c,650,0,0,0,650
0x927b4e5fe3750123488e3bc6c8aa4515d6044a9a,1630,0,0,0,1630
0x000000000000000000000000000000000041e3be,4200,0,0,0,4200
0x00000000000000000000000000000000006d30be,40000,1000,0,0,39000
0x0000000000000000000000000000000000156df1,5000,0,0,0,5000
0x00000000000000000000000000000000001117b7,8000,0,0,0,8000
0x0000000000000000000000000000000000107e4b,10000,0,0,0,10000
0x00000000000000000000000000000000001a985c,1500,0,0,0,1500
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,47710,0,0,34259.71045451,13450.28954549
0x000000000000000000000000000000000031f798,2090,0,0,0,2090
0x00000000000000000000000000000000004ec53c,1580,114.5977144,0,790.02383753,675.37844807
0x000000000000000000000000000000000010be81,2500,0,0,0,2500
0x66c71463f98013dcea824b89ecaca58e6f09c0fd,70,0,0,70.00024337,-0.00024337
0x00000000000000000000000000000000001159d9,1000,0,0,0,1000
0x00000000000000000000000000000000003dc029,53.12726432,0,0,0,53.12726432
0x00000000000000000000000000000000007cf9aa,172.65597584,0,0,0,172.65597584
0x00000000000000000000000000000000000cb41f,0,442.30200596,0,0,-442.30200596
0x00000000000000000000000000000000005501a2,599.61604517,0,0,0,599.61604517
0x00000000000000000000000000000000004decf4,16225.72235672,0,0,0,16225.72235672
0x0000000000000000000000000000000000201a76,450,0,0,450.0134279,-0.0134279
0x00000000000000000000000000000000007cfe92,650,186.56250429,186.56286291,0,650.00035862
0x00000000000000000000000000000000005c83f8,800,0,0,0,800
0x0000000000000000000000000000000000428b34,41.75936266,0,0,0,41.75936266
0x000000000000000000000000000000000078a9c8,27048.81652238,14629.67069659,14.83533864,0,12433.98116443
0x0000000000000000000000000000000000413ecd,480,0,0,0,480
0x0000000000000000000000000000000000213104,0,100,100.00034169,0,0.00034169
0x00000000000000000000000000000000003053af,305.64272405,0,0,0,305.64272405
0x00000000000000000000000000000000006e15c6,48120.91510305,0,0,48120.91787268,-0.00276963
0xa924468e8a1ec92b088b65fb340dde454726cc66,2500,12668.42123288,12669.32624827,0,2500.90501539
0x0d8bf125a37a143db9ee1992490640bb8e97d8b8,29308.53313994,16700,0,0,12608.53313994
0x0000000000000000000000000000000000303ca6,500000,0,0,0,500000
0x00000000000000000000000000000000006e043d,16165,3636,3636.0001577,16165.31779887,-0.31764117
0x0000000000000000000000000000000000110b5a,30000,0,0,0,30000
0x0000000000000000000000000000000000538c99,110,0,0,110.00000303,-0.00000303
0x00000000000000000000000000000000007d0777,1960,0,0,0,1960
0x00000000000000000000000000000000007d0f59,660,0,0,0,660
0x000000000000000000000000000000000042abb0,1150,0,0,0,1150
0x00000000000000000000000000000000000c1104,46400,0,0,0,46400
0x00000000000000000000000000000000007c12fc,1900,0,0,0,1900
0x00000000000000000000000000000000004f232b,602.94425821,0,0,0,602.94425821
0x00000000000000000000000000000000000e5741,2000,0,0,0,2000
0x00000000000000000000000000000000007a944e,1000,0,0,999.98646686,0.01353314
0x00000000000000000000000000000000007ba1a6,9.85049573,0,0,0,9.85049573
0x00000000000000000000000000000000004230b6,600,0,0,0,600
0x00000000000000000000000000000000003ffb2a,150,0,0,0,150
0x00000000000000000000000000000000003c3114,900,0,0,0,900
0x00000000000000000000000000000000000aac8e,7000,0,0,0,7000
0x000000000000000000000000000000000041bedd,190000,0,0,0,190000
0x0000000000000000000000000000000000754ede,400,0,0,0,400
0x00000000000000000000000000000000005e8392,3000,0,0,0,3000
0x0000000000000000000000000000000000466d43,78.46452561,0,0,0,78.46452561
0x00000000000000000000000000000000007871ad,315,95,95.00007385,312.99331805,2.00675580
0x0000000000000000000000000000000000146a66,920000,0,0,256257.24666003,663742.75333997
0x00000000000000000000000000000000004e85d0,450,0,0,0,450
0x00000000000000000000000000000000000ee160,500,0,0,0,500
0x000000000000000000000000000000000050a4ca,300,0,0,0,300
0x000000000000000000000000000000000044a185,1125.65785084,0,0,0,1125.65785084
0x0000000000000000000000000000000000709403,110.79012324,41.33856505,0,0,69.45155819
0x0000000000000000000000000000000000150f46,100,0,0,0,100
0x00000000000000000000000000000000007d2068,1,0.18750016,0,0.07125004,0.74124980
0x13c53e718eabe40f3bffbb9ecd328444b34f6357,0.000101,0,0,0,0.000101
0xf81f4572e376dbd740f3a725cf138c4af2275b25,10,1,0,0.02000098,8.97999902
0x9cd4a76ad8ee084e6cfd6891dd0d5a410562abbe,1,0.01,0,0,0.99
0x0000000000000000000000000000000000458062,883.99395654,0,0,0,883.99395654
0x00000000000000000000000000000000000a91b7,10000,0,0,0,10000
0x0000000000000000000000000000000000739f4a,1503.48223673,0,0,0,1503.48223673
0x00000000000000000000000000000000007b7342,210.97811866,114.64773812,0,0,96.33038054
0x00000000000000000000000000000000007b734b,41.3875883,15.4427442,0,0,25.9448441
0x00000000000000000000000000000000003c7a5e,2462.09001067,0,0,0,2462.09001067
0xece5cfceb7d60cfda3568ffa56f0b59ceb1a49b3,1.0001,0.00010001,0,0,0.99999999
0x000000000000000000000000000000000008f138,7328,0,0,0,7328
0x00000000000000000000000000000000007d331c,1000,0,0,0,1000
0x00000000000000000000000000000000003e7050,3260,0,0,0,3260
0x00000000000000000000000000000000004201d2,8574,0,0,0,8574
0x00000000000000000000000000000000000cb72b,14700,0,0,0,14700
0x00000000000000000000000000000000000c193a,272.51115116,0,0,0,272.51115116
0x0000000000000000000000000000000000140ef8,120000,0,0,0,120000
0x00000000000000000000000000000000000d9a6b,5000,0,0,0,5000
0x47992f5db96beaf1c3bd3341e0a822b2f9b69454,1,0,0,0.02000112,0.97999888
0x00000000000000000000000000000000002f51db,4813,0,0,0,4813
0xc77cbbaead55c25f8a589d748f26bb8e77f69cb9,10,0,0,0.15332217,9.84667783
0x0000000000000000000000000000000000174403,58897,0,0,0,58897
0x00000000000000000000000000000000007c52e1,540,0,0,0,540
0x00000000000000000000000000000000006dbb70,45785.86975782,0,0,0,45785.86975782
0x000000000000000000000000000000000045d3a7,260,0,0,0,260
0x00000000000000000000000000000000007732f6,300,0,0,0,300
0x000000000000000000000000000000000049e6a8,6000,0,0,0,6000
0x00000000000000000000000000000000000e71c9,2670,0,0,0,2670
0x0000000000000000000000000000000000489b71,1200,0,0,0,1200

