address,amount_to_distribute
0x00000000000000000000000000000000004A5226,189864.645292
0x00000000000000000000000000000000007c867c,2.069366
0x8Fa13A1ACaec0Fe92623866Ad2C38d66B9B3f18d,1.9e-05
0x00000000000000000000000000000000007Cd388,8438850.0
0x00000000000000000000000000000000000017a2,-0.35305800000000004
0x00000000000000000000000000000000003BeC55,285000.0
0x000000000000000000000000000000000046108F,530099.8097150001
0xDb6c42a2bAA04055f26C9F33B5Dd08E3b4041BA9,375690.56155000004
0x9692aA6A9B08ed6B10a802DC13C2fFFDd49708F7,79904.85435
0x000000000000000000000000000000000016670e,3132980.327569
0x00000000000000000000000000000000000a2174,115531.07000800001
0x000000000000000000000000000000000009D345,57000.0
0x00000000000000000000000000000000000D2fD8,386528.15433
0x0000000000000000000000000000000000139D09,692572.312859
0x00000000000000000000000000000000004af644,12896.850704000002
0x0000000000000000000000000000000000156DF1,380000.0
0x00000000000000000000000000000000003C8C96,3787690.8847319996
0x00000000000000000000000000000000001682be,949999.999905
0x00000000000000000000000000000000004042E5,-0.02831
0x00000000000000000000000000000000001A040C,218768.36251700003
0x000000000000000000000000000000000041Fc5d,70.64722499999999
0x0000000000000000000000000000000000108Ef6,959998.0035280001
0x0000000000000000000000000000000000429F4D,95210.93800000001
0x00000000000000000000000000000000001b4149,123500.0
0x00000000000000000000000000000000000E5741,27360.170069
0x00000000000000000000000000000000000EfE11,12350.0
0x00000000000000000000000000000000001059C9,296.697654
0x000000000000000000000000000000000077c0E1,147187.177355
0x000000000000000000000000000000000041e3Be,28910.011374
0x00000000000000000000000000000000000b11CF,5700000.0
0x00000000000000000000000000000000000fcd6C,190468.63234
0x0000000000000000000000000000000000794984,90017.720478
0x00000000000000000000000000000000000c17d4,950000.0
0x0000000000000000000000000000000000140eF8,941273.878493
0x0000000000000000000000000000000000769086,96321.835206
0x00000000000000000000000000000000002e6741,812249.62779
0x000000000000000000000000000000000014C122,404014.79908599996
0x00000000000000000000000000000000002167E9,3044.75
0x000000000000000000000000000000000042396a,8987.314222
0x00000000000000000000000000000000000A1dc7,2982260.938551
0x00000000000000000000000000000000003C8371,81191.134267
0x000000000000000000000000000000000047A3F1,3817.4317020000003
0x00000000000000000000000000000000002a51bC,631.585061
0x00000000000000000000000000000000003053AF,35195.850591
0xa924468e8a1ec92b088B65fb340Dde454726cc66,759999.9999810001
0x000000000000000000000000000000000015Bfa9,57000.000171
0x00000000000000000000000000000000006d30bE,2105721.955707
0x00000000000000000000000000000000000C1aE6,633857.617199
0x00000000000000000000000000000000003dC029,5351.172464
0x0000000000000000000000000000000000459917,1901900.0
0x4dc389B40e960Cd0D011f28419bB3da5F00D4937,352298.396093
0x000000000000000000000000000000000007461C,190000.0
0x0000000000000000000000000000000000201A76,27802.694091
0x00000000000000000000000000000000001f7684,25701.071829
0x0000000000000000000000000000000000426283,19000.000171
0x000000000000000000000000000000000016A7B0,950000.0
0x0000000000000000000000000000000000135d0C,19000000.0
0x00000000000000000000000000000000001a113e,1988840.450135
0x00000000000000000000000000000000000c1104,50079.636194
0x00000000000000000000000000000000003fFb2a,4750.000019
0x00000000000000000000000000000000004230b6,8600.073645
0x00000000000000000000000000000000003C3114,2859.481057
0x00000000000000000000000000000000005e8392,213525.888046
0x000000000000000000000000000000000041BedD,194943.748909
0x0000000000000000000000000000000000466d43,6234.788801000001
0x00000000000000000000000000000000003483b5,81887.591294
0x0000000000000000000000000000000000739f4A,956.5854380000001
0x000000000000000000000000000000000010b2E1,76666.93837999999
0x0000000000000000000000000000000000311048,190000.47150400002
0x0000000000000000000000000000000000168E29,190000.0
0x00000000000000000000000000000000000cF1b1,4750.0
0x00000000000000000000000000000000000cb72B,108112.26331800001
0x0000000000000000000000000000000000096911,1900000.0
0x00000000000000000000000000000000007c52E1,19000.0
0x00000000000000000000000000000000000bE603,3800000.000057
0x0000000000000000000000000000000000079F4E,2372877.226501
0x00000000000000000000000000000000000eacc5,57329.75222
0x000000000000000000000000000000000040e5D0,30412.826254
0x0000000000000000000000000000000000076679,2850000.0
0x000000000000000000000000000000000049e6A8,108474.231159
0x00000000000000000000000000000000000Cc8f6,155874.92942600002
0x000000000000000000000000000000000010f73a,-98.865417
0x00000000000000000000000000000000006262d6,2381793.752233
0x00000000000000000000000000000000004274ea,138468.188638
0x00000000000000000000000000000000003a0489,7410.0
0x4CFB6094446c3e086D3d2636b1a2f19628D4714b,289637.833177
TOTAL,76589759.363234
