address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004A5226,997473.2876,6000000,6001814.3192,0,999287.6068
0x00000000000000000000000000000000007c867c,23.8424,1,0,11.951,10.8914
0x8Fa13A1ACaec0Fe92623866Ad2C38d66B9B3f18d,0,2132.0754,2132.0755,0,0.0001
0x00000000000000000000000000000000007Cd388,44415000,0,0,0,44415000
0x00000000000000000000000000000000000017a2,30000000,0,0,30000001.8582,-1.8582
0x00000000000000000000000000000000003BeC55,1500000,0,0,0,1500000
0x000000000000000000000000000000000046108F,2789998.9985,0,0,0,2789998.9985
0xDb6c42a2bAA04055f26C9F33B5Dd08E3b4041BA9,1977318.7450,0,0,0,1977318.7450
0x9692aA6A9B08ed6B10a802DC13C2fFFDd49708F7,420551.865,0,0,0,420551.865
0x000000000000000000000000000000000016670e,16489370.1451,0,0,0,16489370.1451
0x00000000000000000000000000000000000a2174,608058.2632,0,0,0,608058.2632
0x000000000000000000000000000000000009D345,300000,0,0,0,300000
0x00000000000000000000000000000000000D2fD8,2101108.7008,578869.986,578968.3328,66848.3406,2034358.7070
0x0000000000000000000000000000000000139D09,3645117.4361,0,0,0,3645117.4361
0x00000000000000000000000000000000004af644,67878.1616,0,0,0,67878.1616
0x0000000000000000000000000000000000156DF1,2000000,0,0,0,2000000
0x00000000000000000000000000000000003C8C96,19935215.1828,0,0,0,19935215.1828
0x00000000000000000000000000000000001682be,4999999.9995,0,0,0,4999999.9995
0x00000000000000000000000000000000004042E5,1500000,0,0,1500000.149,-0.149
0x00000000000000000000000000000000001A040C,1151412.4343,0,0,0,1151412.4343
0x000000000000000000000000000000000041Fc5d,371.8275,0,0,0,371.8275
0x0000000000000000000000000000000000108Ef6,5052621.0712,0,0,0,5052621.0712
0x0000000000000000000000000000000000429F4D,501110.2,0,0,0,501110.2
0x00000000000000000000000000000000001b4149,650000,0,0,0,650000
0x00000000000000000000000000000000000E5741,144000.8951,0,0,0,144000.8951
0x00000000000000000000000000000000000EfE11,65000,0,0,0,65000
0x00000000000000000000000000000000001059C9,1561.5666,0,0,0,1561.5666
0x000000000000000000000000000000000077c0E1,774669.3545,0,0,0,774669.3545
0x000000000000000000000000000000000041e3Be,152157.9546,0,0,0,152157.9546
0x00000000000000000000000000000000000b11CF,30000000,0,0,0,30000000
0x00000000000000000000000000000000000fcd6C,1002466.486,0,0,0,1002466.486
0x0000000000000000000000000000000000794984,473777.4762,0,0,0,473777.4762
0x00000000000000000000000000000000000c17d4,5000000,0,0,0,5000000
0x0000000000000000000000000000000000140eF8,4954073.0447,0,0,0,4954073.0447
0x0000000000000000000000000000000000769086,1013994.5118,0,0,507037.4844,506957.0274
0x00000000000000000000000000000000002e6741,4274998.0410,0,0,0,4274998.0410
0x000000000000000000000000000000000014C122,3158330.1512,910936.4719,0,120999.9999,2126393.6794
0x00000000000000000000000000000000002167E9,16025,0,0,0,16025
0x000000000000000000000000000000000042396a,47301.6538,0,0,0,47301.6538
