address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004a5226,25569.840737,200000,40585,0,-133845.159263
0x00000000000000000000000000000000007c867c,11.996338,1,0,0.999999,9.996339
0x00000000000000000000000000000000003bec55,5000,0,0,0,5000
0x8c788e5907489a0110bf6eb8a6931f1eae048a6c,64306.884139,0,0,0,64306.884139
0x0000000000000000000000000000000000139d09,1031.427231,0,0,1031.454515,-0.027284
0x0000000000000000000000000000000000462101,18856.57298,0,0,0,18856.57298
0x0000000000000000000000000000000000426143,506.945875,0,0,0,506.945875
0x00000000000000000000000000000000000e5741,101664.758662,0,0,0,101664.758662
0x00000000000000000000000000000000007cd759,1000000,0,0,0,1000000
0x000000000000000000000000000000000015b293,8635.882231,0,0,0,8635.882231
0x0000000000000000000000000000000000429ab4,10.813497,0,0,0,10.813497
0x0000000000000000000000000000000000769086,4511.476779,0,0,4511.701478,-0.224699
0x000000000000000000000000000000000014c122,12,0,0,0,12
0x00000000000000000000000000000000003c8371,4.54594,0,0,0,4.54594
0x00000000000000000000000000000000002a51bc,2810.830276,0,0,0,2810.830276
0x000000000000000000000000000000000041cd14,35128.809672,0,0,0,35128.809672
0x000000000000000000000000000000000041e3be,3280.761029,0,0,0,3280.761029
0x00000000000000000000000000000000002e8596,0.001634,0,0,0,0.001634
0x00000000000000000000000000000000006d30be,30434.59506,0,0,0,30434.59506
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,10650.263819,0,0,0,10650.263819
0x0000000000000000000000000000000000413ecd,16.258076,0,0,0,16.258076
0x00000000000000000000000000000000000c1104,30481.86815,0,0,0,30481.86815
0x00000000000000000000000000000000004ba549,7000,0,0,0,7000
0x00000000000000000000000000000000007c12fc,146.161023,0,0,0,146.161023
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,14656.215614,159750.335727,159756.896615,0,14662.776502
0x00000000000000000000000000000000003c9943,5.690525,0,0,0,5.690525
0x00000000000000000000000000000000007c52e1,10068.676066,0,0,0,10068.676066
