address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004a5226,44942.444627,130000,130029.297580,0,44971.742207
0x00000000000000000000000000000000007c867c,11.950006,1,0,0,10.950006
0xdb6c42a2baa04055f26c9f33b5dd08e3b4041ba9,10000.103136,0,0,10001.555198,-1.452062
0x00000000000000000000000000000000003bec55,2500,0,0,0,2500
0x000000000000000000000000000000000041e358,301.827656,0,0,0,301.827656
0x00000000000000000000000000000000004b1ec8,59,0,0,0,59
0x8c788e5907489a0110bf6eb8a6931f1eae048a6c,2551.531812,0,0,0,2551.531812
0x0000000000000000000000000000000000496e06,1627.158695,0,0,0,1627.158695
0x000000000000000000000000000000000076cadc,18039.357336,0,0,0,18039.357336
0x00000000000000000000000000000000000fd04e,8200,0,0,0,8200
0x000000000000000000000000000000000006f094,572.714912,0,0,572.797225,-0.082313
0x0000000000000000000000000000000000538c99,40,0,0,40,0
0x000000000000000000000000000000000015b293,2950.211937,0,0,0,2950.211937
0x000000000000000000000000000000000004fcaa,100.00001,0,0,0,100.00001
0x0000000000000000000000000000000000140ef8,80206.347575,0,0,80213.844473,-7.496898
0x0000000000000000000000000000000000769086,1892.798782,0,0,1892.975371,-0.176589
0x000000000000000000000000000000000077fd8d,0,56966.280581,56966.408694,0,0.128113
0x00000000000000000000000000000000000d2fd8,0,12271.906129,12276.71883,0,4.812701
0x000000000000000000000000000000000042396a,805.144641,0,0,0,805.144641
0x0000000000000000000000000000000000166f46,500,0,0,0,500
0x00000000000000000000000000000000001251e8,50001.13,0,0,0,50001.13
0x00000000000000000000000000000000004baa4a,30000,0,0,0,30000
0x00000000000000000000000000000000004ee88c,111,0,0,0,111
0x00000000000000000000000000000000007c4135,2349.153392,0,0,0,2349.153392
0x00000000000000000000000000000000006d30be,39298.480275,25000,12500,39299.728151,-12501.247876
0x0000000000000000000000000000000000464ea5,374.011662,0,0,0,374.011662
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,12000.952024,0,0,12001.065843,-0.113819
0x000000000000000000000000000000000031f798,2.047304,0,0,0,2.047304
0x00000000000000000000000000000000003dc029,309.800182,0,0,0,309.800182
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,5281.690271,0,0,0,5281.690271
0x00000000000000000000000000000000005501a2,3295.757241,0,0,0,3295.757241
0x0000000000000000000000000000000000426143,6512.718006,0,0,0,6512.718006
0x0000000000000000000000000000000000428b34,1503.735167,0,0,1503.752537,-0.017370
0x0000000000000000000000000000000000139d09,350,0,0,350.001309,-0.001309
0x00000000000000000000000000000000005c9876,2.041383,0,0,0,2.041383
0x00000000000000000000000000000000004ba549,5110,0,0,0,5110
0x00000000000000000000000000000000000c1104,83718.506592,0,0,83719.276822,-0.770230
0x00000000000000000000000000000000007c12fc,3788.469132,0,0,0,3788.469132
0x00000000000000000000000000000000004134c5,0,41556.32460,41256.438723,0,-299.885877
0x00000000000000000000000000000000003c3114,4.998363,0,0,0,4.998363
0x000000000000000000000000000000000041bedd,200526.646519,0,0,0,200526.646519
0x00000000000000000000000000000000004f4756,20510.357563,0,0,0,20510.357563
0x000000000000000000000000000000000044a185,5122.216869,0,0,0,5122.216869
0x0000000000000000000000000000000000414c48,19334.455962,0,0,0,19334.455962
0x00000000000000000000000000000000004275ef,141.075682,0,0,141.07568,0.000002
0x00000000000000000000000000000000006e3566,0,326608.098533,326609.038645,0,0.940112
0x000000000000000000000000000000000008f138,5000.250962,0,0,0,5000.250962
0x00000000000000000000000000000000000d9a6b,5000,0,0,0,5000
0x00000000000000000000000000000000007c52e1,5000,0,0,0,5000
0x0000000000000000000000000000000000162ea6,0,800,0,0,-800
