address;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0x00000000000000000000000000000000000017a2;0.0;0.0;-0.0057139650000000005;0.0;0.0;0.0;0.0;79000.0;0.0;78999.994286035
0x0000000000000000000000000000000000001eec;-5.13996433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.13996433
0x0000000000000000000000000000000000009d18;270.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
0x000000000000000000000000000000000004fcaa;29.62774269;0.0;0.0;27.000002700000003;0.0;0.0;883.8927335000001;0.0;0.0;940.52047889
0x000000000000000000000000000000000006cc96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;74840.0;173590.0
0x000000000000000000000000000000000006f094;0.0;0.0;0.0;-0.02222451;302.335340265;0.0;0.0;0.0;0.0;302.313115755
0x000000000000000000000000000000000006fd4b;122032.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;239488.0;460270.0
0x000000000000000000000000000000000007461c;0.0;0.0;3075.0;0.0;0.0;0.0;0.0;0.0;0.0;3075.0
0x0000000000000000000000000000000000076679;0.0;0.0;46125.0;0.0;0.0;0.0;0.0;0.0;0.0;46125.0
0x0000000000000000000000000000000000079f4e;0.0;0.0;38403.1445867925;0.0;31500.0;0.0;0.0;0.0;0.0;69903.1445867925
0x000000000000000000000000000000000007ab21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;18710.0;58210.0
0x000000000000000000000000000000000007c64e;500.02499295;66000.0;0.0;0.0;82.28619441000001;0.0;-104.120828;19750.0;1871.0;88099.19035936
0x000000000000000000000000000000000007d02c;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;76711.0;175461.0
0x000000000000000000000000000000000008aae8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x000000000000000000000000000000000008f138;7328.0;0.0;0.0;1350.0677597400002;0.0;0.0;0.0;0.0;0.0;8678.06775974
0x0000000000000000000000000000000000096911;0.0;0.0;30750.0;0.0;0.0;0.0;0.0;0.0;0.0;30750.0
0x000000000000000000000000000000000009aed0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59250.0;127228.0;186478.0
0x000000000000000000000000000000000009d345;5000.0;0.0;922.5;0.0;0.0;0.0;0.0;0.0;0.0;5922.5
0x00000000000000000000000000000000000a1dc7;0.0;0.0;48265.5388739175;0.0;0.0;0.0;-13513.359321;0.0;0.0;34752.1795529175
0x00000000000000000000000000000000000a2174;0.0;0.0;1869.7791593400002;0.0;0.0;0.0;0.0;0.0;0.0;1869.7791593400002
0x00000000000000000000000000000000000a680f;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
