hedera_id;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0.0.6050;0.0;0.0;-0.0057139650000000005;0.0;0.0;0.0;0.0;79000.0;0.0;78999.994286035
0.0.40216;270.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
0.0.326826;29.62774269;0.0;0.0;27.000002700000003;0.0;0.0;883.8927335000001;0.0;0.0;940.52047889
0.0.445590;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;74840.0;173590.0
0.0.454804;0.0;0.0;0.0;-0.02222451;302.335340265;0.0;0.0;0.0;0.0;302.313115755
0.0.458059;122032.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;239488.0;460270.0
0.0.476700;0.0;0.0;3075.0;0.0;0.0;0.0;0.0;0.0;0.0;3075.0
0.0.484985;0.0;0.0;46125.0;0.0;0.0;0.0;0.0;0.0;0.0;46125.0
0.0.499534;0.0;0.0;38403.1445867925;0.0;31500.0;0.0;0.0;0.0;0.0;69903.1445867925
0.0.502561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;18710.0;58210.0
0.0.509518;500.02499295;66000.0;0.0;0.0;82.28619441000001;0.0;-104.120828;19750.0;1871.0;88099.19035936
0.0.512044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;76711.0;175461.0
0.0.568040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.586040;7328.0;0.0;0.0;1350.0677597400002;0.0;0.0;0.0;0.0;0.0;8678.06775974
0.0.616721;0.0;0.0;30750.0;0.0;0.0;0.0;0.0;0.0;0.0;30750.0
0.0.634576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59250.0;127228.0;186478.0
0.0.643909;5000.0;0.0;922.5;0.0;0.0;0.0;0.0;0.0;0.0;5922.5
0.0.662983;0.0;0.0;48265.5388739175;0.0;0.0;0.0;-13513.359321;0.0;0.0;34752.1795529175
0.0.663924;0.0;0.0;1869.7791593400002;0.0;0.0;0.0;0.0;0.0;0.0;1869.77915934
0.0.681999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0.0.683607;0.0;0.0;0.0;-15851.7;63000.0;0.0;0.0;0.0;0.0;47148.3
0.0.692663;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0
0.0.699534;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;10742.0
0.0.725455;644000.0;0.0;92250.0;0.0;94500.0;0.0;0.0;98750.0;129099.0;1158599.0
