address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004a5226,81155.759022,0,0,999.999998,80155.759024
0x00000000000000000000000000000000007c867c,137.906031,82,81.000019,123.840265,13.065785
0x8fa13a1acaec0fe92623866ad2c38d66b9b3f18d,0,1,1,0,0
0x00000000000000000000000000000000003bec55,0,500,0,0,-500
0x000000000000000000000000000000000046108f,0,300,0,0,-300
0x0000000000000000000000000000000000723228,5,5,0,0,0
0x00000000000000000000000000000000003c8075,0,32500,0,0,-32500
0x00000000000000000000000000000000000f8bc8,119.687566,0,0,0,119.687566
0x000000000000000000000000000000000041fc5d,84.017739,5.159135,5.174078,0,84.032682
0x00000000000000000000000000000000004af644,0,2496.712516,1161.038951,0,-1335.673565
0x00000000000000000000000000000000005bf646,0,10968.398565,0,0,-10968.398565
0x000000000000000000000000000000000015b293,56.576826,0,0,0,56.576826
0x000000000000000000000000000000000078e975,0,24.500373,24.637758,0,0.137385
0x0000000000000000000000000000000000769086,1026.308008,0,0,1031.544557,-5.236549
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,0,739.939837,0,0,-739.939837
0x00000000000000000000000000000000006cd120,0,7.032758,0,0,-7.032758
0x000000000000000000000000000000000004fcaa,252.520259,180,180.020522,0,252.540781
0x00000000000000000000000000000000001682be,0,500,0,0,-500
0x000000000000000000000000000000000014c122,3705.592500,3458.824279,0,0,246.768221
0x000000000000000000000000000000000007c64e,0,29.748808,0,0,-29.748808
0x00000000000000000000000000000000007c7d93,1020,0,0,0,1020
0x00000000000000000000000000000000003fc116,0,185.931846,185.93,0,-0.001846
0x927b4e5fe3750123488e3bc6c8aa4515d6044a9a,0,8.639969,8.639,0,-0.000969
0xc57f59d9271405381adfce7308a367f2259ffb90,575.86868,440,441.014144,577.050249,-0.167425
0x000000000000000000000000000000000041e3be,142.339303,143.828342,144.015141,0,142.526102
0x000000000000000000000000000000000057f834,600,0,0,0,600
0x000000000000000000000000000000000041d8fc,119.384257,0,0,0,119.384257
0x00000000000000000000000000000000003a0489,70,0,0,0,70
0x00000000000000000000000000000000004ec53c,442.842324,0,0,221.897071,220.945253
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,11486.049158,2816.366354,1819.052666,11487.394383,-998.658913
0x66c71463f98013dcea824b89ecaca58e6f09c0fd,21.270596,0,0,11.269999,10.000597
0x00000000000000000000000000000000005c83f8,200.043884,0,0,0,200.043884
0x0000000000000000000000000000000000303ca6,50000,0,0,0,50000
0x0000000000000000000000000000000000426143,427.419438,0,0,0,427.419438
0x00000000000000000000000000000000001491ff,135.694982,0,0,0,135.694982
0x00000000000000000000000000000000007a47ca,0,150,150.026576,0,0.026576
0x00000000000000000000000000000000000f3435,1872.962219,0,0,1874.026094,-1.063875
0x00000000000000000000000000000000007c12fc,165.458889,0,0,0,165.458889
0x0000000000000000000000000000000000139d09,24.799737,0,0,24.802298,-0.002561
0x9cd4a76ad8ee084e6cfd6891dd0d5a410562abbe,0.01,0.01,0,0,0.00
0x0000000000000000000000000000000000150f46,0,40,0,0,-40
0x0000000000000000000000000000000000499577,100,0,0,0,100
0x00000000000000000000000000000000006d30be,3154.536402,0,0,0,3154.536402
0x000000000000000000000000000000000073fd3e,0,150.05087,0,0,-150.05087
0xc77cbbaead55c25f8a589d748f26bb8e77f69cb9,1,0,0,0,1
0x00000000000000000000000000000000003a8883,0,40,0,0,-40
0x000000000000000000000000000000000056fb04,42.498637,0,0,0,42.498637
0x00000000000000000000000000000000007d443d,2002.719506,0,0,0,2002.719506
0x00000000000000000000000000000000000e71c9,0,200,0,0,-200
