address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004a5226,82237.817450,40000,40014.396961,44619.999998,37632.214413
0x00000000000000000000000000000000007c867c,11.900256,1,0,0,10.900256
0x00000000000000000000000000000000000cb2be,74863.357397,0,0,0,74863.357397
0x00000000000000000000000000000000003bec55,4000,0,0,0,4000
0x0000000000000000000000000000000000139d09,2005.919581,0,0,200.000105,1805.919476
0x0000000000000000000000000000000000462101,10095.855246,0,0,0,10095.855246
0x00000000000000000000000000000000001a040c,9500,0,0,0,9500
0x00000000000000000000000000000000000e5741,100111.623518,0,0,0,100111.623518
0x00000000000000000000000000000000000edaf7,1150000,0,0,0,1150000
0x000000000000000000000000000000000041fc5d,84.942618,0,0,0,84.942618
0x000000000000000000000000000000000006f094,959.794731,0,0,0,959.794731
0x000000000000000000000000000000000041e3be,6126.682229,0,0,0,6126.682229
0x00000000000000000000000000000000000b11cf,300000,0,0,0,300000
0x000000000000000000000000000000000015b293,0,5488.730656,0,0,-5488.730656
0x00000000000000000000000000000000000f8bc8,243.071349,0,0,0,243.071349
0x0000000000000000000000000000000000769086,15340.659151,0,0,15342.920173,-2.261022
0x000000000000000000000000000000000014c122,40,0,0,0,40
0x000000000000000000000000000000000007c64e,261.226014,0,0,0,261.226014
0x00000000000000000000000000000000006bbae0,5781.862691,0,0,0,5781.862691
0x00000000000000000000000000000000003fc116,7000.392004,0,0,0,7000.392004
0x00000000000000000000000000000000003c8371,7820,0,0,0,7820
0x0000000000000000000000000000000000466d6b,1396.564432,0,0,0,1396.564432
0x000000000000000000000000000000000015bfa9,2843.522968,0,0,0,2843.522968
0x00000000000000000000000000000000004baa4a,88000,0,0,0,88000
0x00000000000000000000000000000000002f412d,15000,0,0,0,15000
0x00000000000000000000000000000000006d30be,76937.103468,0,0,0,76937.103468
0x0000000000000000000000000000000000146a66,7888.307885,0,0,0,7888.307885
0x00000000000000000000000000000000006e3566,687471.711753,0,0,631662.962628,55808.749125
0x000000000000000000000000000000000031f798,787.28532,0,0,0,787.28532
0x0000000000000000000000000000000000201a76,2746.579127,0,0,0,2746.579127
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,1114.113922,0,0,0,1114.113922
0x0000000000000000000000000000000000428b34,967.81204,0,0,0,967.81204
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,36438.635924,0,0,10174.124234,26264.511690
0x0000000000000000000000000000000000213104,200,0,0,0,200
0x00000000000000000000000000000000003053af,2500.433376,0,0,0,2500.433376
0x00000000000000000000000000000000001a113e,5434.655504,0,0,0,5434.655504
0x000000000000000000000000000000000042abb0,4480.301958,0,0,0,4480.301958
0x00000000000000000000000000000000001f7684,1135.553732,0,0,0,1135.553732
0x00000000000000000000000000000000004134c5,84984.338026,15548.79167,15548.814897,6187.999999,78796.361254
0x00000000000000000000000000000000004230b6,701.50167,0,0,0,701.50167
0x00000000000000000000000000000000007871ad,341.453229,0,0,341.453296,-0.000067
0x000000000000000000000000000000000041e358,42326.388866,0,0,0,42326.388866
0x0000000000000000000000000000000000739f4a,116.229907,0,0,0,116.229907
0x00000000000000000000000000000000003a8883,998.722806,0,0,0,998.722806
0x000000000000000000000000000000000010b2e1,21425.734167,0,0,0,21425.734167
0x8c788e5907489a0110bf6eb8a6931f1eae048a6c,62285.576824,62285.576824,62307.987852,0,62307.987852
0x0000000000000000000000000000000000079f4e,100000,0,0,0,100000
0x00000000000000000000000000000000000be603,600000,0,0,0,600000
0x000000000000000000000000000000000045d3a7,295.273397,0,0,0,295.273397
0x000000000000000000000000000000000040e5d0,10826.293759,0,0,0,10826.293759
0x0000000000000000000000000000000000140ef8,68319.444862,0,0,0,68319.444862
0x000000000000000000000000000000000049e6a8,6121.700281,0,0,0,6121.700281
0x000000000000000000000000000000000043a1ee,1504.863466,0,0,0,1504.863466
0x00000000000000000000000000000000007c52e1,1000,0,0,0,1000
0x00000000000000000000000000000000003a0489,610,0,0,0,610
0x0000000000000000000000000000000000162ea6,1984.393469,0,0,0,1984.393469
0x00000000000000000000000000000000002e6741,77506.190159,0,0,0,77506.190159
0x00000000000000000000000000000000004274ea,9257.064532,0,0,0,9257.064532
0x00000000000000000000000000000000000a6e57,200000,0,0,0,200000
0x00000000000000000000000000000000000c1104,71290.310984,0,0,0,71290.310984
